T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss.ccccc
8.75716000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1209.5960000000 1989.4300000000 149.9138000000 119 2024-01-10 18:49:30
8.70148000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1216.1360000000 2002.2100000000 150.2862000000 120 2024-01-10 18:49:33
8.64146000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1223.2360000000 2016.0980000000 150.6922000000 121 2024-01-10 18:49:36
8.58718000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1229.6380000000 2028.3400000000 151.0456000000 122 2024-01-10 18:49:39
8.53400000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1236.0780000000 2041.1700000000 151.4124000000 123 2024-01-10 18:49:43
8.47884000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1242.6580000000 2054.1680000000 151.7856000000 124 2024-01-10 18:49:46
8.41832000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1249.8820000000 2068.6320000000 152.2004000000 125 2024-01-10 18:49:49
8.36364000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1256.6020000000 2081.0780000000 152.5546000000 126 2024-01-10 18:49:53
8.31060000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1263.0400000000 2094.1880000000 152.9272000000 127 2024-01-10 18:49:56
8.25336000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1270.0640000000 2107.8600000000 153.3126000000 128 2024-01-10 18:49:59
8.19738000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1276.9760000000 2121.6380000000 153.6970000000 129 2024-01-10 18:50:03
8.14916000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1283.9740000000 2135.1000000000 154.0758000000 130 2024-01-10 18:50:06
8.10554000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1290.4140000000 2147.8020000000 154.4316000000 131 2024-01-10 18:50:09
8.05488000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1297.9400000000 2163.1320000000 154.8578000000 132 2024-01-10 18:50:12
8.00588000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1305.2320000000 2176.9400000000 155.2412000000 133 2024-01-10 18:50:16
7.96240000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1311.7500000000 2189.6960000000 155.5920000000 134 2024-01-10 18:50:19
7.91944000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1318.2260000000 2202.4900000000 155.9410000000 135 2024-01-10 18:50:22
7.87534000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1324.8640000000 2215.7240000000 156.3048000000 136 2024-01-10 18:50:26
7.83060000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1331.6780000000 2229.3200000000 156.6766000000 137 2024-01-10 18:50:29
7.78670000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1338.4320000000 2242.4320000000 157.0332000000 138 2024-01-10 18:50:32
7.74164000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1345.3700000000 2256.7220000000 157.4138000000 139 2024-01-10 18:50:36
7.69504000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1352.4800000000 2270.4760000000 157.7882000000 140 2024-01-10 18:50:39
7.65190000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1359.2240000000 2283.9180000000 158.1462000000 141 2024-01-10 18:50:42
7.60620000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1366.4100000000 2298.3700000000 158.5328000000 142 2024-01-10 18:50:45
7.56016000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1373.5920000000 2312.4240000000 158.9124000000 143 2024-01-10 18:50:49
7.51796000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1380.2080000000 2325.4040000000 159.2540000000 144 2024-01-10 18:50:52
7.47386000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1387.3440000000 2340.0780000000 159.6402000000 145 2024-01-10 18:50:55
7.42806000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1394.5440000000 2354.1460000000 160.0102000000 146 2024-01-10 18:50:59
7.38516000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1401.5000000000 2367.9260000000 160.3702000000 147 2024-01-10 18:51:02
7.34134000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1408.5560000000 2382.1300000000 160.7436000000 148 2024-01-10 18:51:05
7.29938000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1415.3000000000 2395.2840000000 161.0862000000 149 2024-01-10 18:51:09
7.25726000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1422.1980000000 2409.3140000000 161.4490000000 150 2024-01-10 18:51:12
7.21232000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1429.4540000000 2423.9240000000 161.8288000000 151 2024-01-10 18:51:15
7.17018000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1436.4520000000 2437.5780000000 162.1770000000 152 2024-01-10 18:51:18
7.13144000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1443.4620000000 2451.7560000000 162.5416000000 153 2024-01-10 18:51:22
7.09802000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1449.9220000000 2464.2820000000 162.8640000000 154 2024-01-10 18:51:25
7.06674000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1456.1500000000 2477.1540000000 163.1916000000 155 2024-01-10 18:51:28
7.03210000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1463.0780000000 2490.9800000000 163.5428000000 156 2024-01-10 18:51:32
6.99846000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1469.7760000000 2504.1040000000 163.8770000000 157 2024-01-10 18:51:35
6.96930000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1475.6540000000 2515.6560000000 164.1666000000 158 2024-01-10 18:51:38
6.93820000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1481.8120000000 2528.5300000000 164.4864000000 159 2024-01-10 18:51:42
6.90600000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1488.3960000000 2541.5780000000 164.8156000000 160 2024-01-10 18:51:45
6.87454000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1494.7520000000 2554.3240000000 165.1332000000 161 2024-01-10 18:51:48
6.84446000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1500.9220000000 2566.7900000000 165.4440000000 162 2024-01-10 18:51:51
6.81402000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1507.1500000000 2579.2100000000 165.7530000000 163 2024-01-10 18:51:55
6.78350000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1513.4300000000 2591.9080000000 166.0666000000 164 2024-01-10 18:51:58
